school_name,department_name,department_id,score
國立臺灣大學,醫學系,1222,9.287659
國立成功大學,醫學系,4292,7.693299
國立陽明大學,醫學系B組,25022,6.798569
國立陽明大學,醫學系A組,25012,6.682796
國立臺灣大學,電機工程學系,1532,6.305146
國立臺灣大學,資訊工程學系,1542,6.030943
臺北醫學大學,牙醫學系,109022,5.780269
臺北醫學大學,醫學系,109012,5.605135
國立陽明大學,牙醫學系,25072,5.571041
高雄醫學大學,牙醫學系,7042,5.535574
國立臺灣大學,牙醫學系,1232,5.521704
國立臺灣大學,化學系,1112,5.345175
國立臺灣大學,財務金融學系,1492,5.257994
國立臺灣大學,物理學系,1102,5.25476
國立臺灣大學,化學工程學系,1312,5.093439
長庚大學,醫學系,30012,5.06339
國立臺灣大學,材料科學與工程學系,1332,4.940562
國立臺灣大學,機械工程學系,1302,4.904029
國立臺灣大學,土木工程學系,1292,4.870555
國立臺灣大學,數學系,1092,4.863244
國立交通大學,電機資訊學士班,13012,4.838271
長庚大學,中醫學系,30022,4.794825
馬偕醫學院,醫學系,152012,4.73675
國立臺灣大學,獸醫學系,1412,4.727883
國立臺灣大學,藥學系,1242,4.726199
高雄醫學大學,醫學系,7012,4.719386
中國醫藥大學,中醫學系甲組,12032,4.689579
國立臺灣大學,工程科學及海洋工程學系,1322,4.687596
國立臺灣大學,國際企業學系,1502,4.678882
國立臺灣大學,法律學系財經法學組,1572,4.637232
國立臺灣大學,資訊管理學系,1512,4.599475
國立成功大學,建築學系,4412,4.437337
國立臺灣大學,生化科技學系,1592,4.310828
國立臺灣大學,政治學系政治理論組,1162,4.183692
國立清華大學,不分系招生戊組(創新設計組),11342,4.139742
國立臺灣大學,會計學系,1482,4.099438
國立交通大學,電子工程學系(甲組),13032,3.98637
國立臺灣大學,大氣科學系,1152,3.923337
輔仁大學,醫學系,20132,3.914282
國立臺灣大學,經濟學系,1192,3.906705
國立臺灣大學,生命科學系,1582,3.874728
國立臺灣大學,生物環境系統工程學系,1352,3.83383
國立臺灣大學,物理治療學系,1272,3.816067
臺北醫學大學,藥學系臨床藥學組,109042,3.810021
國立政治大學,不分系招生(政星組),6382,3.727043
國立臺灣大學,日本語文學系,1072,3.713623
國立臺灣大學,法律學系司法組,1562,3.701255
國立交通大學,電子工程學系(乙組),13042,3.674564
國立臺灣大學,公共衛生學系,1522,3.652888
國立臺灣大學,工商管理學系科技管理組,1472,3.652201
國立臺灣大學,農業化學系,1362,3.635949
國立成功大學,工業設計學系,4432,3.633778
國立臺灣大學,政治學系國際關係組,1172,3.621002
國立清華大學,物理學系物理組,11092,3.567082
國立臺灣師範大學,美術學系西畫組,2402,3.547569
國立臺灣大學,護理學系,1262,3.534392
國立臺灣大學,農業經濟學系,1392,3.462131
國立交通大學,旋坤揚帆招生甲組(電機資訊),13302,3.457941
國立清華大學,電機工程學系甲組,11222,3.440721
國立交通大學,資訊工程學系網路與多媒體工程組,13102,3.422073
中國醫藥大學,醫學系,12022,3.420536
國立成功大學,藥學系,4342,3.372466
國立臺灣大學,外國語文學系,1022,3.363872
國立清華大學,材料科學工程學系,11192,3.358226
國立清華大學,電機工程學系乙組,11232,3.352264
國立中興大學,獸醫學系,3372,3.340339
中山醫學大學,牙醫學系,26022,3.339156
國立臺灣大學,法律學系法學組,1552,3.335895
臺北醫學大學,藥學系藥學組,109032,3.327342
國立交通大學,電機工程學系(乙組),13062,3.31406
國立臺灣大學,植物病理與微生物學系,1452,3.313021
國立清華大學,動力機械工程學系,11182,3.305169
國立臺灣大學,社會學系,1202,3.300702
國立中央大學,生醫科學與工程學系,16252,3.28087
國立臺灣大學,政治學系公共行政組,1182,3.280375
國立臺灣大學,歷史學系,1032,3.268089
國立臺北大學,法律學系法學組,99012,3.266017
國立交通大學,資訊工程學系資訊工程組,13092,3.260204
逢甲大學,建築學系,15302,3.25212
國立交通大學,電機工程學系(甲組),13052,3.242635
國立政治大學,財務管理學系,6222,3.213145
國立臺灣師範大學,公民教育與活動領導學系乙組(公費生),2112,3.206225
國立臺灣大學,圖書資訊學系,1062,3.195065
國立清華大學,不分系招生甲組(音樂),11302,3.168997
實踐大學,服裝設計學系(臺北校區),50052,3.159003
中國醫藥大學,牙醫學系,12012,3.158119
實踐大學,工業產品設計學系(臺北校區),50062,3.152791
國立政治大學,英國語文學系,6252,3.146461
國立交通大學,資訊工程學系資電工程組,13082,3.122095
國立清華大學,化學系,11112,3.119853
國立清華大學,理學院學士班,11122,3.114086
國立臺灣大學,生物產業機電工程學系,1432,3.10407
東海大學,建築學系,9412,3.055105
國立臺灣大學,動物科學技術學系,1382,3.035733
國立臺灣大學,職能治療學系,1282,3.023203
國立臺灣大學,戲劇學系,1082,2.982393
國立成功大學,電機工程學系,4392,2.962951
國立清華大學,不分系招生乙組(體育),11312,2.952912
國立政治大學,歐洲語文學系法文組,6312,2.951513
中國醫藥大學,中醫學系乙組,12042,2.926779
中山醫學大學,醫學系,26012,2.883833
國立東華大學,資訊工程學系學士班國際組,34082,2.880973
國立臺灣師範大學,體育學系,2422,2.880244
