department_id,student_id
1012,10008031
1012,10022810
1012,10025909
1012,10123708
1012,10184040
1012,10302830
1012,10125333
1012,10014627
1012,10013015
1012,10137442
1012,10163105
1012,10084836
1012,10263720
1012,10266113
1012,10239623
1012,10014015
1012,10014727
1022,10113222
1022,10014813
1022,10187811
1022,10266932
1022,10187309
1022,10184442
1022,10173933
1022,10022522
1022,10028001
1022,10046111
1022,10037101
1022,10147336
1022,10184110
1022,10173923
1022,10054210
1022,10241142
1022,10014605
1022,10090308
1022,10109432
1022,10027137
1022,10235508
1022,10137818
1022,10046907
1022,10200311
1022,10264539
1022,10246842
1022,10164641
1022,10125331
1022,10006529
1022,10054433
1022,10305608
1022,10012315
1022,10012913
1022,10019301
1022,10076024
1022,10115309
1022,10137405
1022,10258139
1022,10270541
1022,10298127
1032,10165037
1032,10271127
1032,10201525
1032,10005122
1032,10054419
1032,10026839
1032,10039615
1032,10021441
1032,10164827
1032,10267011
1032,10246002
1032,10185916
1032,10157924
1032,10236223
1032,10053523
1032,10018527
1032,10008501
1032,10058338
1032,10157422
1032,10024017
1032,10050715
1032,10130303
1032,10013206
1032,10095928
1042,10162215
1042,10188025
1042,10006017
1042,10163437
1042,10013242
1042,10273232
1042,10265120
1042,10013441
1042,10016407
1042,10038135
1042,10006937
1042,10016013
1042,10246620
1042,10022636
1042,10001103
1042,10016633
1042,10161039
1042,10005508
1042,10286620
1042,10185728
1052,10027539
1052,10239919
1052,10091636
1052,10049218
1052,10230808
1052,10014317
1052,10185112
1052,10113124
1062,10106740
1062,10012318
1062,10293033
1062,10267805
1062,10164507
1062,10015015
1062,10013317
1062,10050135
1062,10184910
1062,10305235
1062,10067408
1062,10037029
1062,10022812
1062,10038213
1062,10050613
1062,10105703
1062,10040426
1062,10185410
1062,10048718
1072,10013314
1072,10201709
1072,10014814
1072,10028005
1072,10042237
1072,10235201
1072,10135622
1072,10200019
1072,10215626
1072,10013536
1072,10148038
1072,10050341
1082,10006915
1082,10231032
1082,10106215
1082,10014037
1082,10271917
1082,10266511
1092,10163603
1092,10074010
1092,10175912
1092,10010328
1092,10142613
1092,10220036
1092,10203803
1092,10017739
1092,10033418
1092,10023705
1092,10185840
1092,10165003
1092,10105415
1092,10268027
1092,10033216
1092,10034030
1092,10095334
1102,10106837
1102,10267430
1102,10017105
1102,10012104
1102,10143939
1102,10016903
1102,10105503
1102,10033340
1102,10271539
1102,10185424
1102,10009125
1102,10236838
1102,10203017
1102,10142725
1102,10266018
1102,10087636
1102,10295617
1102,10060736
1102,10034738
1102,10158802
1102,10002025
1102,10175832
1102,10158542
1102,10185216
1102,10017233
1102,10096930
1102,10157628
1102,10184837
1102,10267634
1102,10067532
1102,10133815
1102,10131920
1102,10034838
1102,10010827
1102,10016739
1112,10164603
1112,10203932
1112,10131735
1112,10138741
1112,10269703
1112,10136637
1112,10041337
1112,10014117
1112,10152012
1112,10015805
1112,10033416
1112,10246028
1112,10107112
1112,10017521
1112,10020612
1112,10135032
1112,10094419
1112,10305540
1112,10038134
1112,10161313
1112,10023540
1112,10034140
1112,10139027
1112,10200126
1112,10200128
1112,10135229
1112,10021029
1112,10186821
1112,10007641
1112,10010127
1112,10089822
1112,10136510
1112,10163501
1112,10268641
1122,10211236
1122,10259123
1122,10095701
1122,10269637
1122,10091632
1122,10221410
1122,10171936
1122,10298806
1122,10164005
1122,10023135
1122,10246404
1122,10001524
1122,10004417
1122,10038034
1122,10039513
1122,10142523
1122,10157230
1122,10163531
1122,10209620
1122,10217639
1122,10242711
1122,10265132
1132,10016541
1132,10084232
1132,10304905
1132,10254332
1132,10037005
1132,10008123
1132,10160713
1132,10185010
1132,10022201
1132,10023005
1132,10048930
1132,10162713
1132,10294018
1132,10306301
1142,10116917
1142,10078223
1142,10296613
1142,10034640
1142,10113623
1142,10200633
1142,10066033
1142,10159319
1142,10097032
1142,10005232
1142,10163713
1142,10228617
1142,10004836
1142,10288236
1152,10242642
1152,10161727
1152,10097004
1152,10229513
1152,10186737
1152,10023114
1152,10006216
1152,10152036
1152,10107241
1152,10125531
1152,10228337
1162,10013805
1162,10033404
1162,10137706
1162,10013306
1162,10012414
1162,10162615
1162,10117341
1162,10012306
1162,10015917
1162,10229341
1172,10163617
1172,10162237
1172,10014001
1172,10014615
1172,10267213
1172,10055429
1172,10069413
1172,10053811
1172,10161505
1172,10135401
1172,10007403
1172,10136206
1182,10266137
1182,10137738
1182,10268005
1182,10160411
1182,10012227
1182,10033104
1182,10014937
1182,10187210
1182,10270329
1182,10014238
1182,10239431
1182,10021003
1192,10253541
1192,10164829
1192,10036225
1192,10112632
1192,10222238
1192,10022632
1192,10019615
1192,10222302
1192,10244411
1192,10220038
1192,10049242
1192,10041430
1192,10040328
1192,10165201
1192,10187907
1192,10049118
1192,10011413
1192,10011227
1192,10017537
1192,10185540
1192,10106025
1192,10114301
1192,10009232
1192,10017617
1192,10157423
1192,10113110
1192,10161007
1192,10186930
1192,10222203
1192,10017423
1192,10140829
1192,10265320
1192,10012630
1192,10293613
1192,10246004
1192,10200714
1192,10107213
1192,10200716
1192,10226608
1192,10212810
1192,10022541
1192,10187441
1192,10003332
1192,10203227
1192,10004815
1192,10169732
1192,10104613
1192,10139341
1202,10267815
1202,10165101
1202,10001417
1212,10103522
1212,10169636
1212,10013838
1212,10238802
1212,10136628
1212,10023222
1212,10239633
1212,10049206
1212,10053107
1212,10243219
1212,10306317
1212,10138825
1212,10015239
1212,10180422
1212,10016907
1222,10033608
1222,10270501
1222,10036541
1222,10008937
1222,10033704
1222,10047331
1222,10011315
1222,10163615
1222,10207632
1222,10097718
1222,10201637
1222,10014013
1222,10187229
1222,10241608
1222,10013610
1222,10034607
1222,10130620
1222,10014805
1222,10195306
1222,10034621
1222,10036437
1222,10242616
1222,10010913
1222,10008825
1222,10038003
